Food Item,Price of Item (USD),Number of Servings,Energy,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholestrol (mg),"Sodium, Na","Carbohydrate, by difference","Fiber, total dietary",Total Sugars (g),Added Sugars (g),Protein,Vitamin D (mcg),"Calcium, Ca","Iron, Fe","Potassium, K"
Vegetable Fried Rice,2.99,3,230,2.5,0,0,0,510,45,3,3,1,6,0,0,0.9,190
Korean Beefless Bulgogi,4.49,3,230,11,2,0,0,580,15,5,6,6,16,0,60,5.3,190
Cheese & Green Chile Tamales ,3.79,2,290,16,6,0,20,610,28,2,2,0,8,0.1,200,1.2,200
Stir Fried Garlicky Cabbage,3.49,2,130,9,2,0,0,620,9,4,5,1,3,0,50,0.5,350
Vegetarian Meatless Cheeseburger Pizza,5.99,3,340,15,5,0,20,790,37,3,4,0,14,0,190,2.4,310
Roasted Garlic & Pesto Pizza with Deep Fried Crust,5.99,3,430,20,9,0,25,900,43,3,1,0,17,0.3,260,1.2,170
Chickenless Crispy Tenders,3.79,3,170,7,0.5,0,0,380,14,4,1,1,13,0,30,1.4,270
Bulgogi Beef Fried Rice with Kimchi,5.49,1,400,10,1.5,0,20,1150,60,3,7,5,11,0,50,1.5,300
Bulgur Pilaf with Butternut Squash & Feta Cheese,3.49,3.5,200,10,3,0,10,380,20,2,3,0,6,0,40,1,250
Chicken Burrito Bowl,3.49,1,370,10,4.5,0,55,630,51,9,2,0,22,0,130,2.6,690
Italian Tomato & Red Onion Focaccia,3.99,3,280,7,1,0,0,500,48,3,13,0,8,0,20,0.8,250
Cuban Style Citrus Garlic Bowl ,3.99,1,400,18,2,0,45,540,44,1,13,3,16,0.2,30,2.3,300
Hashbrowns,2.49,10,120,6,1,0,0,250,15,1,0,0,1,0,10,0.4,210
Pão D'Água Portuguese Rolls,2.29,4,160,0.5,0,0,0,230,33,2,2,0,5,0,60,0.8,70
Layered Beef Tostada,3.99,1,460,23,12,0.5,70,830,38,8,3,1,28,0,260,3.9,520
Mini Chicken Tacos,5.99,6,260,13,2.5,0,20,430,24,4,1,0,11,0,30,0.6,200
Mini Beef Tacos,5.99,6,270,14,3,0,15,460,23,5,1,0,11,0,40,1.1,180
Hatch Chile Mac & Cheese,2.99,2,260,10,6,0,30,430,31,1,3,0,11,25,260,1.4,190
Tteok Bok Ki,3.99,1,280,1.5,0,0,0,420,61,3,10,10,5,0,30,1.1,130
